EXP_id	Herb/ingredient_id	Herb/ingredient_name	Herb/ingredient	GSE_id	Organism	Strain	Tissue	Cell_Type	Cell_line	Experiment_type	Sequence_type	Experiment_subject	Experiment_subject_detail	Experiment_special_pretreatment	Control_condition	Control_samples	Treatment_condition	Treatment_samples	Drug_delivery	Plat_info
HBEXP000001	HERB000016	A JIANG LAN REN;阿江榄仁;NA;Terminalia arjuna	Herb	GSE56886	Homo sapiens		Peripheral blood	PBMC		Expression profiling by array	Total RNA	human cellline	Peripheral blood; PBMC	/	control	GSM1370689; GSM1370690	treated with T.arjuna for 3 months	GSM1370687; GSM1370688	exposed	GPL15207:[PrimeView] Affymetrix Human Gene Expression Array
HBEXP000002	HERB000016	A JIANG LAN REN;阿江榄仁;NA;Terminalia arjuna	Herb	GSE56886	Homo sapiens		Peripheral blood	PBMC		Expression profiling by array	Total RNA	human cellline	Peripheral blood; PBMC	/	control	GSM1370693; GSM1370694	treated with T.arjuna for 6 months	GSM1370691; GSM1370692	exposed	GPL15207:[PrimeView] Affymetrix Human Gene Expression Array
HBEXP000003	HERB000146	BA XI HU TONG;NA;Brazilian Calaba;Calophyllum brasiliense	Herb	GSE72755	Mus musculus		Liver			Expression profiling by array	Total RNA	mouse	Liver	/	control	GSM1869530; GSM1869531; GSM1869532; GSM1869533	mammea A/BA+A/BB 3:1	GSM1869537; GSM1869538; GSM1869539	treated	GPL6246:[MoGene-1_0-st] Affymetrix Mouse Gene 1.0 ST Array [transcript (gene) version]
HBEXP000004	HERB000189	BAI GUO YE;白果叶;Ginkgo Leaf;Ginkgo biloba	Herb	GSE103208	Homo sapiens		Primary HCC cells			Expression profiling by array	Total RNA	human cellline	Primary HCC cells	/	control	GSM2757408; GSM2757410; GSM2757412	exposed to Ginkgo biloba (EGb761)	GSM2757414; GSM2757416; GSM2757418	exposed	GPL10558:Illumina HumanHT-12 V4.0 expression beadchip
HBEXP000005	HERB000189	BAI GUO YE;白果叶;Ginkgo Leaf;Ginkgo biloba	Herb	GSE103208	Homo sapiens			Hepatoma	WRL68	Expression profiling by array	Total RNA	human cellline	Hepatoma; WRL68	/	control	GSM2757409; GSM2757411; GSM2757413	exposed to Ginkgo biloba (EGb761)	GSM2757415; GSM2757417; GSM2757419	exposed	GPL10558:Illumina HumanHT-12 V4.0 expression beadchip
HBEXP000006	HERB000189	BAI GUO YE;白果叶;Ginkgo Leaf;Ginkgo biloba	Herb	GSE103208	Homo sapiens			Hepatoma	Huh7	Expression profiling by array	Total RNA	human cellline	Hepatoma; Huh7	/	control	GSM2757420; GSM2757421; GSM2757422	exposed to Ginkgo biloba (EGb761)	GSM2757423; GSM2757424; GSM2757425	exposed	GPL10558:Illumina HumanHT-12 V4.0 expression beadchip
HBEXP000007	HERB000189	BAI GUO YE;白果叶;Ginkgo Leaf;Ginkgo biloba	Herb	GSE103208	Homo sapiens			Hepatocyte	THLE5B	Expression profiling by array	Total RNA	human cellline	Hepatocyte; THLE5B	/	control	GSM2757426; GSM2757428; GSM2757430	exposed to Ginkgo biloba (EGb761)	GSM2757427; GSM2757429; GSM2757431	exposed	GPL10558:Illumina HumanHT-12 V4.0 expression beadchip
HBEXP000008	HERB000189	BAI GUO YE;白果叶;Ginkgo Leaf;Ginkgo biloba	Herb	GSE29813	Mus musculus	B6C3F1	Liver			Expression profiling by array	Total RNA	mouse	B6C3F1; Liver	/	control	GSM652414; GSM652415; GSM652416; GSM652417; GSM652418; GSM652419	induced by Ginkgo biloba leaf extract (GBE)	GSM738861; GSM738862; GSM738863; GSM738864; GSM738865; GSM738866	gavage	GPL1261:[Mouse430_2] Affymetrix Mouse Genome 430 2.0 Array
HBEXP000009	HERB000523	BO NIANG HAO;播娘蒿;Flixweed Tansymustard Seed;Descurainia sophia	Herb	GSE114586	Mus musculus	BALB/c	Lung			Expression profiling by high throughput sequencing	Total RNA	mouse	BALB/c; Lung	/	wile type (Saline)	GSM3145352; GSM3145353; GSM3145354	Descurainia sophia treated mice	GSM3145358; GSM3145359; GSM3145360; GSM3145361	treated	GPL19057:Illumina NextSeq 500 (Mus musculus)
HBEXP000010	HERB000523	BO NIANG HAO;播娘蒿;Flixweed Tansymustard Seed;Descurainia sophia	Herb	GSE114586	Mus musculus	BALB/c	Lung			Expression profiling by high throughput sequencing	Total RNA	mouse	BALB/c; Lung	/	wile type (Saline)	GSM3145355; GSM3145356; GSM3145357	Descurainia sophia treated mice	GSM3145358; GSM3145359; GSM3145360; GSM3145361	treated	GPL19057:Illumina NextSeq 500 (Mus musculus)
