Herb_,Herb_cn_name,segmented_function,segmented_indication
HERB000001,阿比西尼亚刺桐,[],[]
HERB000002,阿比西尼亚牛筋果,[],[]
HERB000003,阿尔及利亚棉蓟,[],[]
HERB000004,阿尔及利亚补血草,[],[]
HERB000005,阿尔及利亚鸢尾,[],[]
HERB000006,阿尔泰银莲花,[],[]
HERB000007,阿尔泰紫菀,[],[]
HERB000008,阿富汗丁香,[],[]
HERB000009,阿富汗杜鹃花,[],[]
HERB000010,阿富汗黑麦草,[],[]
HERB000011,阿福泽尔马钱子,[],[]
HERB000012,,[],[]
HERB000013,,[],[]
HERB000014,阿根廷鼠曲草,[],[]
HERB000015,,[],[]
HERB000016,阿江榄仁,[],[]
HERB000017,,[],[]
HERB000018,阿拉伯胶金合欢,[],[]
HERB000019,阿拉伯金合欢,[],[]
HERB000020,阿拉伯婆婆纳,[],[]
HERB000021,阿里红,[],[]
HERB000022,阿里山五味子,[],[]
HERB000023,,[],[]
HERB000024,,[],[]
HERB000025,阿曼苏丹没药,[],[]
HERB000026,阿诺特花椒,[],[]
HERB000027,,[],[]
HERB000028,,[],[]
HERB000029,阿魏,[],[]
HERB000030,,[],[]
HERB000031,,[],[]
HERB000032,阿育魏实,[],[]
HERB000033,阿月浑子,[],[]
HERB000034,,[],[]
HERB000035,矮大黄,[],[]
HERB000036,矮地茶,['cough.2'],[]
HERB000037,埃及车轴草,[],[]
HERB000038,埃及大翅蓟,[],[]
HERB000039,埃及假虎刺,[],[]
HERB000040,埃及千里光,[],[]
HERB000041,埃及鼠尾草,[],[]
HERB000042,,[],[]
HERB000043,,[],[]
HERB000044,埃及种植鸢尾,[],[]
HERB000045,,[],[]
HERB000046,艾菊,[],[]
HERB000047,,[],[]
HERB000048,埃利斯多孔菌,[],[]
HERB000049,艾麻黄,[],[]
HERB000050,艾纳香,[],[]
HERB000051,,[],[]
HERB000052,埃塞俄比亚羽扇豆,[],[]
HERB000053,,[],[]
HERB000054,,[],[]
HERB000055,,[],[]
HERB000056,,[],[]
HERB000057,艾实,[],[]
HERB000058,,[],[]
